origin	scanNumber	polarity	basePeakMz	basePeakIntensity	totalIonCurrent	id	scanDefinition	msLevel	isolationWindowTargetMz[0]	isolationWindowLowerOffset[0]	isolationWindowUpperOffset[0]	precursorActivationType	precursorCollisionEnergy	precursorCollisionEnergyUnit	ionInjectionTime[0]	isolationMzMin[0]	isolationMzMax[0]	precursorCharge[0]	precursorMz[0]	msFunction	retentionTime	spectrumType	rawTic	foundMass	foundMassRange[ppm]	foundMassLowerBound	foundMassUpperBound	foundMassError[ppm]	foundIntensity	scanRelativeIntensity	calculatedMass	species	fragment	adduct
QExHF03_NM_0001327.mzML	2	NEGATIVE	173.1120782	5.0034765e06	1.6682609e07	controllerType=0 controllerNumber=1 scan=2	FTMS - p NSI Full ms2 373.2534@hcd11.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	11.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.4398586	CENTROIDED	1.631395E7	355.24267578125	10	355.239147573	355.246252427	-0.06817522221698158	175609.22	0.0107643595	355.2427	TXB2-d4	355,243	[M-H]1-
QExHF03_NM_0001327.mzML	2	NEGATIVE	173.1120782	5.0034765e06	1.6682609e07	controllerType=0 controllerNumber=1 scan=2	FTMS - p NSI Full ms2 373.2534@hcd11.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	11.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.4398586	CENTROIDED	1.631395E7	173.11207580566406	5	173.1110344405	173.11276555950002	1.0155608255183455	5003476.5	0.30669928	173.1119	TXB2-d4	173,112	[M-H]1-
QExHF03_NM_0001327.mzML	2	NEGATIVE	173.1120782	5.0034765e06	1.6682609e07	controllerType=0 controllerNumber=1 scan=2	FTMS - p NSI Full ms2 373.2534@hcd11.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	11.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.4398586	CENTROIDED	1.631395E7	173.11207580566406	10	173.11016888100002	173.113631119	1.0155608255183455	5003476.5	0.30669928	173.1119	TXB2-d4	173,112	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	293.2062072753906	5	293.2044339705	293.2073660295	1.047985018853512	162611.73	0.01138922	293.2059	TXB2-d4	293,206	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	293.2062072753906	10	293.202967941	293.20883205900003	1.047985018853512	162611.73	0.01138922	293.2059	TXB2-d4	293,206	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	199.1277618408203	5	199.1267043615	199.1286956385	0.31055860288716447	4200655.0	0.29421115	199.1277	TXB2-d4	199,128	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	199.1277618408203	10	199.125708723	199.129691277	0.31055860288716447	4200655.0	0.29421115	199.1277	TXB2-d4	199,128	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	129.1221160888672	5	129.12165438850002	129.1229456115	-1.4243173550047856	4183.7944	2.9303026E-4	129.1223	TXB2-d4	129,122	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	129.1221160888672	10	129.121008777	129.123591223	-1.4243173550047856	4183.7944	2.9303026E-4	129.1223	TXB2-d4	129,122	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	181.11703491210938	5	181.116294414	181.11810558599998	-0.9114975862141323	40918.68	0.0028659177	181.1172	TXB2-d4	181,117	[M-H]1-
