origin	scanNumber	polarity	basePeakMz	basePeakIntensity	totalIonCurrent	id	scanDefinition	msLevel	isolationWindowTargetMz[0]	isolationWindowLowerOffset[0]	isolationWindowUpperOffset[0]	precursorActivationType	precursorCollisionEnergy	precursorCollisionEnergyUnit	ionInjectionTime[0]	isolationMzMin[0]	isolationMzMax[0]	precursorCharge[0]	precursorMz[0]	msFunction	retentionTime	spectrumType	rawTic	instrument	group	foundMass	foundMassRange[ppm]	foundMassLowerBound	foundMassUpperBound	foundMassError[ppm]	foundIntensity	scanRelativeIntensity	calculatedMass	species	fragment	adduct
STD_neg_MSMS_2min0018.mzML	6	NEGATIVE	718.540126119949	27706	131748	scanId=2714		2	718.539184570313	0.0	0.0	HCD	13.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.706	CENTROIDED	39072.363	MS:1002791	2min0018	269.2482566772035	5	269.247257751889	269.249950237929	-1.289951740912866	3199.2673	0.08188057	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	6	NEGATIVE	718.540126119949	27706	131748	scanId=2714		2	718.539184570313	0.0	0.0	HCD	13.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.706	CENTROIDED	39072.363	MS:1002791	2min0018	269.2482566772035	10	269.245911508869	269.25129648094895	-1.289951740912866	3199.2673	0.08188057	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	6	NEGATIVE	718.540126119949	27706	131748	scanId=2714		2	718.539184570313	0.0	0.0	HCD	13.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.706	CENTROIDED	39072.363	MS:1002791	2min0018	718.5393164613063	5	718.5356366187624	718.5428220110556	0.12128272712434605	27878.197	0.7135017	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
STD_neg_MSMS_2min0018.mzML	6	NEGATIVE	718.540126119949	27706	131748	scanId=2714		2	718.539184570313	0.0	0.0	HCD	13.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.706	CENTROIDED	39072.363	MS:1002791	2min0018	718.5393164613063	10	718.5320439226159	718.5464147072021	0.12128272712434605	27878.197	0.7135017	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
STD_neg_MSMS_2min0018.mzML	6	NEGATIVE	718.540126119949	27706	131748	scanId=2714		2	718.539184570313	0.0	0.0	HCD	13.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.706	CENTROIDED	39072.363	MS:1002791	2min0018	448.28324671702205	5	448.28110744816564	448.2855902816544	-0.22786455980703516	154.80624	0.0039620395	448.28334886491	PE 17:0-17:0	-FA 17:0(+HO)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	6	NEGATIVE	718.540126119949	27706	131748	scanId=2714		2	718.539184570313	0.0	0.0	HCD	13.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.706	CENTROIDED	39072.363	MS:1002791	2min0018	448.28324671702205	10	448.2788660314214	448.28783169839863	-0.22786455980703516	154.80624	0.0039620395	448.28334886491	PE 17:0-17:0	-FA 17:0(+HO)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	6	NEGATIVE	718.540126119949	27706	131748	scanId=2714		2	718.539184570313	0.0	0.0	HCD	13.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.706	CENTROIDED	39072.363	MS:1002791	2min0018	466.293198618387	5	466.2915820953412	466.2962450344769	-1.5332529574397262	188.56793	0.0048261206	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	6	NEGATIVE	718.540126119949	27706	131748	scanId=2714		2	718.539184570313	0.0	0.0	HCD	13.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.706	CENTROIDED	39072.363	MS:1002791	2min0018	466.293198618387	10	466.2892506257734	466.2985765040447	-1.5332529574397262	188.56793	0.0048261206	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	7	NEGATIVE	718.540126119949	24802	126023	scanId=2813		2	718.539184570313	0.0	0.0	HCD	14.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.805	CENTROIDED	38794.39	MS:1002791	2min0018	269.2480954594337	5	269.247257751889	269.249950237929	-1.888720935659602	5848.032	0.15074427	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	7	NEGATIVE	718.540126119949	24802	126023	scanId=2813		2	718.539184570313	0.0	0.0	HCD	14.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.805	CENTROIDED	38794.39	MS:1002791	2min0018	269.2480954594337	10	269.245911508869	269.25129648094895	-1.888720935659602	5848.032	0.15074427	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
