instrument	origin	scanNumber	polarity	basePeakMz	basePeakIntensity	totalIonCurrent	id	scanDefinition	msLevel	isolationWindowTargetMz[0]	isolationWindowLowerOffset[0]	isolationWindowUpperOffset[0]	precursorActivationType	precursorCollisionEnergy	precursorCollisionEnergyUnit	ionInjectionTime[0]	isolationMzMin[0]	isolationMzMax[0]	precursorCharge[0]	precursorMz[0]	msFunction	retentionTime	spectrumType	rawTic	foundMass	foundMassRange[ppm]	foundMassLowerBound	foundMassUpperBound	foundMassError[ppm]	foundIntensity	scanRelativeIntensity	calculatedMass	species	fragment	adduct
null	QExHF03_NM_0001544.mzML	5	NEGATIVE	718.5395769	1.1679036e06	1.4650004e06	controllerType=0 controllerNumber=1 scan=5	FTMS - p NSI Full ms2 718.5392@hcd14.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	14.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.4165697	CENTROIDED	1405439.9	466.2940979003906	10	466.2892506257734	466.2985765040447	0.3953203682131118	12741.887	0.00906612	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	269.2486267089844	5	269.247257751889	269.249950237929	0.08436097735697186	252347.62	0.16967347	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	269.2486267089844	10	269.245911508869	269.25129648094895	0.08436097735697186	252347.62	0.16967347	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	448.28265380859375	5	448.28110744816564	448.2855902816544	-1.5504843488395748	3680.3245	0.002474576	448.28334886491	PE 17:0-17:0	-FA 17:0(+HO)	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	448.28265380859375	10	448.2788660314214	448.28783169839863	-1.5504843488395748	3680.3245	0.002474576	448.28334886491	PE 17:0-17:0	-FA 17:0(+HO)	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	718.5394287109375	5	718.5356366187624	718.5428220110556	0.2775019377806071	1133278.0	0.76199335	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	718.5394287109375	10	718.5320439226159	718.5464147072021	0.2775019377806071	1133278.0	0.76199335	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	466.2944030761719	5	466.2915820953412	466.2962450344769	1.0497912338456286	19666.934	0.013223651	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	466.2944030761719	10	466.2892506257734	466.2985765040447	1.0497912338456286	19666.934	0.013223651	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
null	QExHF03_NM_0001544.mzML	7	NEGATIVE	718.5394035	1.0971232e06	1.6458051e06	controllerType=0 controllerNumber=1 scan=7	FTMS - p NSI Full ms2 718.5392@hcd16.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	16.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.9308316	CENTROIDED	1586835.0	269.24859619140625	5	269.247257751889	269.249950237929	-0.028982518847662248	391323.6	0.24660635	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	7	NEGATIVE	718.5394035	1.0971232e06	1.6458051e06	controllerType=0 controllerNumber=1 scan=7	FTMS - p NSI Full ms2 718.5392@hcd16.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	16.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.9308316	CENTROIDED	1586835.0	269.24859619140625	10	269.245911508869	269.25129648094895	-0.028982518847662248	391323.6	0.24660635	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	7	NEGATIVE	718.5394035	1.0971232e06	1.6458051e06	controllerType=0 controllerNumber=1 scan=7	FTMS - p NSI Full ms2 718.5392@hcd16.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	16.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.9308316	CENTROIDED	1586835.0	448.2836608886719	5	448.28110744816564	448.2855902816544	0.6960413824306337	10318.603	0.006502631	448.28334886491	PE 17:0-17:0	-FA 17:0(+HO)	[M-H]1-
null	QExHF03_NM_0001544.mzML	7	NEGATIVE	718.5394035	1.0971232e06	1.6458051e06	controllerType=0 controllerNumber=1 scan=7	FTMS - p NSI Full ms2 718.5392@hcd16.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	16.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.9308316	CENTROIDED	1586835.0	448.2836608886719	10	448.2788660314214	448.28783169839863	0.6960413824306337	10318.603	0.006502631	448.28334886491	PE 17:0-17:0	-FA 17:0(+HO)	[M-H]1-
